month,revenue_eur,occupied_room_nights,giorni_disponibili,mese_completo,available_room_nights,ADR,RevPAR,occupazione,alta_stagione
2024-09-01,168721.94,415,21,False,1260,406.56,133.91,0.329,True
2024-10-01,63419.75,258,31,True,1860,245.81,34.1,0.139,False
2024-11-01,47298.69,203,30,True,1800,233.0,26.28,0.113,False
2024-12-01,261283.34,631,31,True,1860,414.08,140.47,0.339,True
2025-01-01,73779.12,289,31,True,1860,255.29,39.67,0.155,False
2025-02-01,42494.21,179,28,True,1680,237.4,25.29,0.107,False
2025-03-01,61590.96,260,31,True,1860,236.89,33.11,0.14,False
2025-04-01,59280.72,245,30,True,1800,241.96,32.93,0.136,False
2025-05-01,50315.24,214,31,True,1860,235.12,27.05,0.115,False
2025-06-01,249329.38,604,30,True,1800,412.8,138.52,0.336,True
2025-07-01,264069.31,626,31,True,1860,421.84,141.97,0.337,True
2025-08-01,312489.92,750,31,True,1860,416.65,168.01,0.403,True
2025-09-01,349490.37,834,30,True,1800,419.05,194.16,0.463,True
2025-10-01,54678.94,216,31,True,1860,253.14,29.4,0.116,False
2025-11-01,52560.34,223,30,True,1800,235.7,29.2,0.124,False
2025-12-01,299265.34,722,31,True,1860,414.49,160.9,0.388,True
2026-01-01,63922.19,250,31,True,1860,255.69,34.37,0.134,False
2026-02-01,71831.05,302,28,True,1680,237.85,42.76,0.18,False
2026-03-01,66759.54,287,31,True,1860,232.61,35.89,0.154,False
2026-04-01,55986.57,243,30,True,1800,230.4,31.1,0.135,False
2026-05-01,64236.51,278,31,True,1860,231.07,34.54,0.149,False
2026-06-01,285455.34,682,30,True,1800,418.56,158.59,0.379,True
2026-07-01,312015.45,755,31,True,1860,413.27,167.75,0.406,True
2026-08-01,303507.43,730,31,True,1860,415.76,163.18,0.392,True
2026-09-01,106365.06,252,10,False,600,422.08,177.28,0.42,True
